,0
review_score,0.4006119583191939
previous_orders,0.07797733216409278
shipping_distance_km,0.05875681043211364
customer_age_days,0.05733212871838713
high_risk_ip,0.057014519555000476
avg_order_value_eur,0.05115948785890132
order_value_eur,0.04874268666570738
discount_rate,0.04553713788804832
address_mismatch,0.031230839770126438
traffic_source_enc,0.031036324248492494
product_category_enc,0.026076951243611347
country_enc,0.02596494922323337
payment_method_enc,0.02145107502062947
delivery_days_estimated,0.021152374340751637
quantity,0.019109723803294665
customer_support_contacts,0.010971535356544316
device_type_enc,0.009230591406603282
late_delivery_risk,0.006643573985268127
